id,平均视频更新时间,UP主所在分区,视频平均时长,视频总数,视频平均点赞数,视频平均硬币数,视频平均转发数,视频平均弹幕数,视频平均收藏数,视频平均播放量,视频平均评论数,视频推荐指数,点赞/播放量超过4%的视频数,粉丝数
477631979,6.075757575757576,生活,373.81060606060606,132,23836.704545454544,4180.477272727273,1961.9848484848485,524.9318181818181,2518.060606060606,230923.74242424243,655.5378787878788,71342.60530303029,132,1260286
1601895109,17.25,动画,2596.3125,16,83528.75,23709.125,4945.25,2788.75,30782.5,539033.6875,1724.375,191660.721875,16,1489964
22423090,18.608695652173914,运动,584.6521739130435,46,39828.52173913043,15170.760869565218,4482.521739130435,2251.9347826086955,30221.08695652174,968815.804347826,1407.0652173913043,277423.10326086957,31,1797628
17134369,3.6804123711340204,音乐,125.18041237113403,194,114368.10309278351,17030.25773195876,7520.768041237114,1183.7319587628865,32776.64948453608,1240778.0567010308,1657.0876288659795,378235.6420103091,191,2716697
7481602,8.283333333333333,知识,2191.5666666666666,120,26944.575,16710.633333333335,1643.775,5953.133333333333,8136.266666666666,660253.3666666667,1938.8583333333333,189109.36666666667,66,1504208
297344797,15.25,时尚,271.28333333333336,60,113954.36666666667,42467.4,5556.1,2704.5833333333335,29768.966666666667,1266488.0333333334,1517.5166666666667,393143.90499999985,57,1383205
24801003,6.264150943396227,知识,609.8867924528302,159,27153.572327044025,5210.679245283019,717.5849056603773,1626.0691823899372,2786.2578616352203,469665.6666666667,700.9056603773585,132559.33553459117,145,2029906
357229416,20.67391304347826,游戏,1481.0652173913043,46,99771.43478260869,42334.391304347824,7596.369565217391,11692.304347826086,20643.195652173912,1160789.3043478262,4176.260869565217,364137.8630434783,45,2305665
178184502,16.88888888888889,知识,814.8333333333334,18,1232.1666666666667,844.5555555555555,105.33333333333333,132.66666666666666,2238.4444444444443,27377.722222222223,70.66666666666667,8491.186111111112,14,68633
400813602,38.31578947368421,音乐,196.89473684210526,19,125457.57894736843,57885.78947368421,14073.0,2348.4210526315787,60761.94736842105,1533193.7368421052,2922.684210526316,485416.60789473687,19,1285692
2728123,3.205026455026455,游戏,1844.2380952380952,756,11689.84126984127,4700.366402116402,467.5079365079365,2052.3055555555557,2295.5291005291006,256573.35846560847,672.1481481481482,72758.36765873019,362,1475425
416523954,2.832460732984293,游戏,295.5785340314136,382,20470.93717277487,2411.2748691099478,344.0026178010471,845.9869109947643,7157.201570680629,1472471.277486911,284.4502617801047,380076.4410994764,18,2324408
27717433,12.571428571428571,游戏,694.2222222222222,63,115308.33333333333,43261.31746031746,4076.5714285714284,10718.0,26486.190476190477,2333469.1746031744,2210.2380952380954,662358.249206349,47,1982948
434527526,6.983050847457627,知识,1284.7796610169491,59,6549.389830508475,2904.322033898305,1281.6101694915253,701.5593220338983,7176.389830508475,141189.54237288135,465.06779661016947,42467.40423728813,38,488684
1473247194,5.202020202020202,运动,252.78787878787878,99,6372.434343434344,1581.4343434343434,1911.2525252525252,121.44444444444444,6841.858585858586,150642.12121212122,283.2121212121212,44203.249494949516,70,1923965
14082,19.82857142857143,音乐,219.14285714285714,35,37070.77142857143,4249.914285714286,1641.6,598.5428571428571,4576.542857142857,267202.8857142857,766.3142857142857,86232.86142857144,29,1464782
450595813,11.916666666666666,时尚,249.57142857142858,84,56592.51190476191,10547.619047619048,4167.25,1355.702380952381,44377.05952380953,884530.25,772.6785714285714,264653.4351190475,75,2691605
272344192,7.542553191489362,知识,234.5212765957447,94,16922.563829787236,2637.244680851064,903.0,255.82978723404256,3973.81914893617,201976.43617021278,438.70212765957444,60329.790957446836,93,1105480
1217628212,3.344,生活,81.608,125,183597.728,5748.976,1468.6,1449.68,27894.144,3556560.608,1784.776,975422.0192000003,82,4119932
680677803,8.157894736842104,知识,699.7631578947369,76,158929.31578947368,66194.0,8266.355263157895,9986.421052631578,24730.236842105263,1710548.5394736843,5432.171052631579,536232.7822368421,74,3100917
435972,7.625,时尚,16.525,40,94408.2,1659.425,1481.275,191.225,10123.45,507972.95,463.575,169608.0075,40,360812
178690106,1.9162011173184357,科技,591.5698324022346,179,10358.17877094972,3174.7988826815645,13062.206703910615,608.977653631285,3909.3743016759777,406671.4301675978,1057.1396648044692,116757.63184357535,16,1799539
479016408,4.864583333333333,知识,177.10416666666666,96,16099.447916666666,8663.072916666666,303.1145833333333,249.41666666666666,1041.9375,150831.59375,311.59375,48331.76093750001,96,118689
472116007,182.5,游戏,15425.0,2,2655.5,1160.0,180.0,2515.5,1452.5,140127.0,296.5,38226.5,0,17737
138894648,1.6539855072463767,生活,37.38405797101449,552,48156.42572463768,2392.661231884058,1080.9347826086957,163.83514492753622,2024.7065217391305,846806.7101449275,346.6159420289855,233381.46557971014,497,1306410
6171645,17.16842105263158,鬼畜,112.22105263157894,95,109199.4,57152.61052631579,21549.452631578948,4615.789473684211,43286.81052631579,1762908.8,1697.0105263157895,535708.8389473683,86,1532133
11100920,3.486842105263158,生活,509.8157894736842,228,58991.89473684211,18220.82894736842,1209.3070175438597,4465.004385964912,4399.55701754386,917043.5921052631,1011.061403508772,264381.8651315789,221,2286609
1644053613,8.982456140350877,美食,170.59649122807016,57,148185.28070175438,3714.3508771929824,1989.5438596491229,1879.6315789473683,7385.140350877193,1317362.9824561405,1167.4736842105262,394728.7087719298,57,2258104
21330948,25.877551020408163,生活,250.51020408163265,49,51487.183673469386,8580.122448979591,812.6734693877551,2204.265306122449,6775.510204081633,694823.1632653062,1279.469387755102,201646.46428571426,46,1511241
47291,6.9609756097560975,游戏,1226.4634146341464,205,14677.819512195121,5663.195121951219,1117.4146341463415,1916.5073170731707,1689.9512195121952,388972.2926829268,703.9804878048781,107605.10829268295,71,533972
533459953,3.9876543209876543,美食,169.41358024691357,162,233961.4814814815,16909.722222222223,6697.66049382716,10094.388888888889,7387.975308641975,3400508.845679012,4387.814814814815,962503.563271605,157,4401808
32708543,2.937007874015748,音乐,530.7244094488188,381,27546.87401574803,10502.598425196851,2439.742782152231,2371.3307086614172,7316.8635170603675,418796.88976377953,1419.0787401574803,125094.0799212596,324,1438164
49746395,20.942857142857143,知识,3845.114285714286,35,23870.371428571427,17830.85714285714,2077.2,1877.142857142857,35937.885714285716,376473.0571428572,639.8857142857142,123833.25285714284,30,2221865
700782879,5.284313725490196,游戏,4802.480392156863,102,246.64705882352942,28.57843137254902,11.068627450980392,37.666666666666664,178.83333333333334,12713.127450980392,12.833333333333334,3368.8632352941177,1,4796
153525294,14.186046511627907,影视,1748.093023255814,43,5602.860465116279,2379.3720930232557,438.27906976744185,1030.6279069767443,1778.6744186046512,153050.6511627907,364.30232558139534,42810.0976744186,21,98100
3218476,4.359060402684563,游戏,964.7046979865772,298,3343.51677852349,872.5939597315436,45.97651006711409,295.0771812080537,327.8590604026846,38927.92281879194,170.73154362416108,11730.692114093945,296,491571
